Date,Open,High,Low,Close,Adj Close,Volume
2004-01-01,27.580000,28.830000,27.260000,27.650000,17.804523,1232189000
2004-02-01,27.610001,27.799999,26.350000,26.530001,17.083326,1032065600
2004-03-01,26.629999,26.719999,24.010000,24.930000,16.053049,1703041000
2004-04-01,24.950001,27.719999,24.850000,26.129999,16.825756,1558947800
2004-05-01,26.190001,26.600000,25.420000,26.230000,16.890150,1141456900
2004-06-01,26.129999,28.799999,25.860001,28.559999,18.390497,1534889700
2004-07-01,28.700001,29.889999,27.250000,28.490000,18.345423,1550446900
2004-08-01,28.270000,28.549999,26.850000,27.299999,17.579149,1094195300
2004-09-01,27.230000,27.790001,26.740000,27.650000,17.857048,1141012300
2004-10-01,27.820000,28.889999,27.549999,27.969999,18.063709,1300591200
2004-11-01,28.160000,30.200001,26.100000,26.809999,17.314558,1739407300
2004-12-01,26.950001,27.440001,26.680000,26.719999,19.232990,1803777700
2005-01-01,26.799999,27.100000,25.639999,26.280001,18.916279,1521414300
2005-02-01,26.250000,26.500000,25.129999,25.160000,18.110102,1361126000
2005-03-01,25.190001,25.790001,23.820000,24.170000,17.451187,1541411300
2005-04-01,24.240000,25.450001,23.940001,25.299999,18.267061,1520253700
2005-05-01,25.230000,26.090000,24.639999,25.799999,18.628078,1270563700
2005-06-01,25.730000,26.000000,24.820000,24.840000,17.991821,1303029500
2005-07-01,24.850000,26.480000,24.500000,25.610001,18.549547,1321407700
2005-08-01,25.809999,27.940001,25.760000,27.379999,19.831564,1441979300
2005-09-01,27.379999,27.389999,25.120001,25.730000,18.691738,1348861500
2005-10-01,25.709999,25.799999,24.250000,25.700001,18.669949,1439659900
2005-11-01,25.610001,28.250000,25.610001,27.680000,20.108334,1444948300
2005-12-01,27.730000,28.100000,26.100000,26.150000,19.052540,1271695500
2006-01-01,26.250000,28.379999,26.100000,28.150000,20.509712,1388622700
2006-02-01,27.959999,28.070000,26.340000,26.870001,19.577120,1047699000
2006-03-01,26.980000,28.219999,26.620001,27.209999,19.892027,1437940900
2006-04-01,27.670000,27.940001,24.000000,24.150000,17.654991,1446126900
2006-05-01,24.320000,25.000000,22.450001,22.650000,16.558411,2309193400
2006-06-01,22.740000,23.650000,21.459999,23.299999,17.100018,1971637200
2006-07-01,23.530001,24.600000,22.230000,24.059999,17.657782,1332298100
2006-08-01,24.020000,26.250000,23.850000,25.700001,18.861391,1134188400
2006-09-01,25.889999,27.520000,25.389999,27.350000,20.146257,1097482600
2006-10-01,27.320000,28.850000,27.150000,28.709999,21.148033,1290967400
2006-11-01,28.780001,30.000000,28.580000,29.360001,21.626835,1239142000
2006-12-01,29.230000,30.260000,28.799999,29.860001,22.070343,1137160900
2007-01-01,29.910000,31.480000,29.400000,30.860001,22.809458,1324518200
2007-02-01,30.840000,30.940001,27.790001,28.170000,20.821207,1290850900
2007-03-01,27.820000,28.549999,26.600000,27.870001,20.670898,1269506500
2007-04-01,27.889999,30.740000,27.559999,29.940001,22.206200,958964900
2007-05-01,29.940001,31.160000,29.900000,30.690001,22.762468,1327154700
2007-06-01,30.790001,30.900000,29.040001,29.469999,21.928413,1181412800
2007-07-01,29.670000,31.840000,28.950001,28.990000,21.571245,1295548000
2007-08-01,28.950001,30.100000,27.510000,28.730000,21.377779,1228579500
2007-09-01,28.500000,29.850000,28.270000,29.459999,21.997801,1117419500
2007-10-01,29.459999,37.000000,29.290001,36.810001,27.486061,1772076700
2007-11-01,36.529999,37.500000,32.680000,33.599998,25.089140,1830846800
2007-12-01,33.500000,36.720001,32.630001,35.599998,26.670439,1064817100
2008-01-01,35.790001,35.959999,31.040001,32.599998,24.422920,1950301600
2008-02-01,31.059999,33.250000,27.020000,27.200001,20.377413,2324580800
2008-03-01,27.240000,29.590000,26.870001,28.379999,21.344049,1452390200
2008-04-01,28.830000,32.099998,27.930000,28.520000,21.449335,1444720000
2008-05-01,28.500000,30.530001,27.950001,28.320000,21.298914,1405170200
2008-06-01,28.240000,29.570000,27.110001,27.510000,20.765902,1560439100
2008-07-01,27.270000,27.910000,24.870001,25.719999,19.414717,1637501300
2008-08-01,25.920000,28.500000,25.070000,27.290001,20.599834,1206949700
2008-09-01,27.670000,27.760000,23.500000,26.690001,20.227276,1927538700
2008-10-01,26.379999,27.469999,20.650000,22.330000,16.923002,3044579400
2008-11-01,22.480000,23.660000,17.500000,20.219999,15.323926,1794911800
2008-12-01,19.879999,21.250000,18.469999,19.440001,14.832603,1546943400
2009-01-01,19.530001,21.000000,16.750000,17.100000,13.047197,1564043400
2009-02-01,17.030001,19.930000,16.100000,16.150000,12.322350,1456213400
2009-03-01,15.960000,18.879999,14.870000,18.370001,14.112302,1625752800
2009-04-01,18.230000,21.200001,18.180000,20.260000,15.564244,1562400700
2009-05-01,20.190001,20.940001,19.010000,20.889999,16.048223,1101122400
2009-06-01,21.000000,24.340000,20.860001,23.770000,18.376684,1411144700
2009-07-01,24.049999,25.719999,22.000000,23.520000,18.183414,1517459800
2009-08-01,23.820000,25.490000,23.030001,24.650000,19.057014,993250400
2009-09-01,24.350000,26.250000,23.760000,25.719999,19.996044,1038979700
2009-10-01,25.410000,29.350000,24.430000,27.730000,21.558722,1523430100
2009-11-01,27.700001,30.139999,27.410000,29.410000,22.864841,1018256700
2009-12-01,29.520000,31.500000,29.250000,30.480000,23.801456,920605500
2010-01-01,30.620001,31.240000,27.660000,28.180000,22.005415,1359650900
2010-02-01,28.389999,29.030001,27.570000,28.670000,22.388046,1074643300
2010-03-01,28.770000,30.570000,28.240000,29.290001,22.979153,1110237200
2010-04-01,29.350000,31.580000,28.620001,30.540001,23.959829,1319029500
2010-05-01,30.670000,31.059999,24.559999,25.799999,20.241114,1720130200
2010-06-01,25.530001,26.930000,22.950001,23.010000,18.133703,1671811600
2010-07-01,23.090000,26.410000,22.730000,25.809999,20.340328,1408590600
2010-08-01,25.990000,26.379999,23.320000,23.469999,18.496220,1279372100
2010-09-01,23.670000,25.530001,23.540001,24.490000,19.403025,1273139500
2010-10-01,24.770000,27.200001,23.780001,26.670000,21.130194,1281432800
2010-11-01,26.879999,28.870001,24.930000,25.260000,20.013079,1361176300
2010-12-01,25.570000,28.400000,25.559999,27.910000,22.248495,1033710000
2011-01-01,28.049999,29.459999,27.420000,27.730000,22.105003,1361258700
2011-02-01,27.799999,28.340000,26.430000,26.580000,21.188278,1114368500
2011-03-01,26.600000,26.780001,24.680000,25.389999,20.359304,1310885200
2011-04-01,25.530001,26.870001,24.719999,25.920000,20.784290,1313844800
2011-05-01,25.940001,26.250000,24.030001,25.010000,20.054588,1364062800
2011-06-01,24.990000,26.000000,23.650000,26.000000,20.985094,1297757600
2011-07-01,25.930000,28.150000,25.840000,27.400000,22.115059,1259328200
2011-08-01,27.510000,27.690001,23.790001,26.600000,21.469366,1719339500
2011-09-01,26.459999,27.500000,24.600000,24.889999,20.215986,1279920200
2011-10-01,24.719999,27.500000,24.260000,26.629999,21.629238,1218142500
2011-11-01,26.190001,27.200001,24.299999,25.580000,20.776413,1046207400
2011-12-01,25.559999,26.190001,25.160000,25.959999,21.243826,1007166600
2012-01-01,26.549999,29.950001,26.389999,29.530001,24.165260,1354858100
2012-02-01,29.790001,32.000000,29.709999,31.740000,25.973772,984332300
2012-03-01,31.930000,32.950001,31.490000,32.259998,26.573099,942366500
2012-04-01,32.220001,32.889999,30.230000,32.020000,26.375406,940739700
2012-05-01,32.049999,32.340000,28.639999,29.190001,24.044287,1014372600
2012-06-01,28.760000,31.139999,28.320000,30.590000,25.362825,973131400
2012-07-01,30.620001,31.049999,28.540001,29.469999,24.434210,846604100
2012-08-01,29.590000,30.959999,28.969999,30.820000,25.553526,671748400
2012-09-01,30.450001,31.610001,29.740000,29.760000,24.838120,893107700
2012-10-01,29.809999,30.250000,27.760000,28.540001,23.819889,1105402300
2012-11-01,28.840000,30.200001,26.340000,26.620001,22.217438,1310516100
2012-12-01,26.780001,27.730000,26.260000,26.709999,22.475725,947310900
2013-01-01,27.250000,28.230000,26.280001,27.450001,23.098423,1145054400
2013-02-01,27.670000,28.200001,27.100000,27.799999,23.392935,780587000
2013-03-01,27.719999,28.660000,27.520000,28.610001,24.273848,844946000
2013-04-01,28.639999,33.110001,28.110001,33.099998,28.083342,1465757200
2013-05-01,32.930000,35.279999,32.320000,34.900002,29.610525,1071860000
2013-06-01,34.919998,35.779999,32.570000,34.540001,29.510588,945155500
2013-07-01,34.750000,36.430000,31.020000,31.840000,27.203735,1111130600
