Date,MSFT,MKrf,SMB,HML,RF
2012-10-01,-4.1858666,-1.76,-1.13,3.68,0.01
2012-11-01,-6.9643428,0.78,0.54,-0.94,0.01
2012-12-01,1.1558362,1.18,1.45,3.52,0.01
2013-01-01,2.7328509,5.57,0.36,0.91,0
2013-02-01,1.2669707,1.29,-0.41,0.07,0
2013-03-01,3.6965503,4.03,0.75,-0.2,0
2013-04-01,14.5777032,1.55,-2.42,0.55,0
2013-05-01,5.2953283,2.8,1.62,2.65,0
2013-06-01,-0.3380758,-1.2,1.15,-0.02,0
2013-07-01,-8.1394834,5.65,1.87,0.58,0
2013-08-01,4.7832528,-2.71,0.3,-2.67,0
2013-09-01,0.3422613,3.77,2.89,-1.19,0
2013-10-01,6.2037697,4.18,-1.53,1.2,0
2013-11-01,7.4007561,3.13,1.18,0.31,0
2013-12-01,-1.1508657,2.81,-0.58,-0.05,0
2014-01-01,1.1428886,-3.32,0.87,-2.02,0
2014-02-01,1.2344449,4.65,0.31,-0.37,0
2014-03-01,7.5088089,0.43,-1.85,4.91,0
2014-04-01,-1.44988,-0.19,-4.21,1.11,0
2014-05-01,1.3277848,2.06,-1.91,-0.12,0
2014-06-01,2.5423535,2.61,3.08,-0.68,0
2014-07-01,3.4413168,-2.04,-4.26,-0.02,0
2014-08-01,5.125831,4.24,0.38,-0.58,0
2014-09-01,2.6490484,-1.97,-3.78,-1.31,0
2014-10-01,1.2646245,2.52,4.28,-1.82,0
2014-11-01,1.8151944,2.55,-2.09,-2.87,0
2014-12-01,-2.2571344,-0.06,2.52,2.18,0
2015-01-01,-13.9546452,-3.11,-0.56,-3.5,0
2015-02-01,8.1944897,6.14,0.53,-1.89,0
2015-03-01,-6.843862,-1.12,3.02,-0.43,0
2015-04-01,17.9201659,0.59,-3.01,1.84,0
2015-05-01,-3.7281863,1.36,0.93,-1.19,0
2015-06-01,-5.3093452,-1.53,2.84,-0.76,0
2015-07-01,5.6151128,1.54,-4.09,-4.19,0
2015-08-01,-7.0523749,-6.04,0.47,2.63,0
2015-09-01,2.3433498,-3.07,-2.61,0.51,0
2015-10-01,17.3394864,7.75,-1.99,-0.21,0
2015-11-01,3.1968392,0.56,3.67,-0.53,0
2015-12-01,2.7295859,-2.17,-2.84,-2.52,0.01
2016-01-01,-0.705446,-5.77,-3.34,1.98,0.01
2016-02-01,-7.9498143,-0.08,0.84,-0.56,0.02
2016-03-01,8.9190344,6.96,0.83,1.06,0.02
2016-04-01,-10.2086676,0.92,0.67,3.3,0.01
2016-05-01,6.0872496,1.78,-0.26,-1.72,0.01
2016-06-01,-2.816858,-0.05,0.65,-1.46,0.02
2016-07-01,10.2267999,3.95,2.62,-1.23,0.02
2016-08-01,1.3667631,0.5,1.16,3.24,0.02
2016-09-01,0.8646947,0.25,2.03,-1.2,0.02
2016-10-01,3.9487602,-2.02,-4.42,4.04,0.02
2016-11-01,0.5658224,4.86,5.46,8.15,0.01
2016-12-01,3.7454176,1.81,0.11,3.49,0.03
2017-01-01,3.959833,1.94,-1.04,-2.77,0.04
2017-02-01,-1.0417575,3.57,-1.99,-1.78,0.04
2017-03-01,3.5004971,0.17,1.16,-3.25,0.03
2017-04-01,3.8718339,1.09,0.71,-2.05,0.05
2017-05-01,1.9957141,1.06,-2.59,-3.69,0.06
2017-06-01,-0.7399878,0.78,2.15,1.43,0.06
2017-07-01,5.3250036,1.87,-1.47,-0.33,0.07
2017-08-01,2.8075228,0.16,-1.6,-2.3,0.09
2017-09-01,0.1561946,2.51,4.47,3.11,0.09
2017-10-01,11.0342102,2.25,-1.94,0.07,0.09
2017-11-01,1.1831571,3.12,-0.59,-0.06,0.08
2017-12-01,2.1155276,1.06,-1.31,0.27,0.09
2018-01-01,10.4997871,5.58,-3.1,-1.24,0.11
2018-02-01,-1.3137154,-3.65,0.3,-1.02,0.11
2018-03-01,-2.2336359,-2.35,4.05,-0.14,0.12
2018-04-01,2.4353046,0.29,1.14,0.46,0.14
2018-05-01,5.5327129,2.65,5.28,-3.15,0.14
2018-06-01,0.1995357,0.48,1.18,-2.27,0.14
2018-07-01,7.3020934,3.19,-2.21,0.58,0.16
2018-08-01,5.7247375,3.44,1.08,-3.87,0.16
2018-09-01,2.1838635,0.06,-2.24,-1.7,0.15
2018-10-01,-6.8387193,-7.68,-4.91,3.62,0.19
2018-11-01,3.7487378,1.69,-0.69,0.2,0.18
2018-12-01,-8.3479921,-9.55,-2.54,-1.88,0.19
2019-01-01,2.7768805,8.41,2.94,-0.56,0.21
2019-02-01,7.0249715,3.4,2.1,-2.72,0.18
2019-03-01,5.5670993,1.1,-3.06,-4.2,0.19
2019-04-01,10.1963137,3.96,-1.77,2,0.21
2019-05-01,-5.4441658,-6.94,-1.25,-2.15,0.21
2019-06-01,8.3538459,6.93,0.2,-0.82,0.18
2019-07-01,1.7097043,1.19,-2.06,0.3,0.19
2019-08-01,1.1600423,-2.58,-2.43,-4.93,0.16
2019-09-01,1.1775477,1.43,-0.99,6.78,0.18
2019-10-01,3.0738898,2.06,0.27,-2.09,0.15
2019-11-01,5.4364591,3.87,0.85,-1.87,0.12
2019-12-01,4.4298146,2.77,0.71,1.93,0.14
2020-01-01,7.6456023,-0.11,-3.09,-6.3,0.13
2020-02-01,-4.9492358,-8.13,1,-3.96,0.12
2020-03-01,-2.4172506,-13.38,-5.1,-14.11,0.12
2020-04-01,12.7800372,13.65,2.75,-1.35,0
2020-05-01,2.2293092,5.58,2.47,-4.95,0.01
2020-06-01,10.764489,2.46,2.7,-2.22,0.01
2020-07-01,0.7343621,5.77,-2.18,-1.31,0.01
2020-08-01,9.5394451,7.63,-0.26,-2.95,0.01
2020-09-01,-6.736102,-3.63,0.1,-2.59,0.01
